Date,3M Normal,3M Enhanced,3M ML,6M Normal,6M Enhanced,6M ML,12M Normal,12M Enhanced,12M ML,Average Risk-free rate return (converted to monthly)
30/4/2011,-0.003,-0.003,-0.003,0.013,0.018,0.013,-0.003,0.006,-0.003,0.003076543
31/5/2011,-0.044,-0.033,-0.044,-0.039,-0.034,-0.039,-0.018,-0.013,-0.018,0.003076543
30/6/2011,-0.002,0.005,-0.002,-0.006,-0.001,-0.006,-0.013,-0.012,-0.013,0.003076543
31/7/2011,-0.011,-0.013,-0.011,-0.010,-0.010,-0.010,-0.008,-0.002,-0.008,0.003076543
31/8/2011,-0.093,-0.092,-0.093,-0.095,-0.092,-0.095,-0.099,-0.098,-0.099,0.003076543
30/9/2011,-0.062,-0.060,-0.062,-0.095,-0.093,-0.095,-0.112,-0.103,-0.112,0.003076543
31/10/2011,0.049,0.050,0.049,0.066,0.062,0.066,0.104,0.101,0.104,0.003076543
30/11/2011,-0.012,-0.017,-0.012,-0.004,0.026,-0.004,-0.023,-0.016,-0.023,0.003076543
31/12/2011,0.015,0.016,0.015,0.022,0.018,0.022,0.031,0.030,0.031,0.003076543
31/1/2012,0.060,0.060,0.060,0.057,0.050,0.057,0.053,0.054,0.053,0.003076543
29/2/2012,0.030,0.031,0.030,0.029,0.029,0.029,0.028,0.028,0.028,0.003076543
31/3/2012,-0.032,-0.033,-0.032,-0.031,-0.029,-0.031,-0.003,-0.003,-0.003,0.003076543
30/4/2012,-0.008,-0.015,-0.008,0.009,0.006,0.009,0.013,0.007,0.013,0.003076543
31/5/2012,-0.043,-0.046,-0.043,-0.047,-0.048,-0.047,-0.032,-0.034,-0.032,0.003076543
30/6/2012,0.012,0.009,0.012,-0.006,-0.010,-0.006,-0.018,-0.027,-0.018,0.003076543
31/7/2012,0.023,0.033,0.023,0.017,0.017,0.017,0.042,0.046,0.042,0.003076543
31/8/2012,-0.006,-0.006,-0.006,0.024,0.024,0.024,0.010,0.010,0.010,0.003076543
30/9/2012,-0.044,-0.047,-0.044,-0.043,-0.042,-0.043,-0.036,-0.033,-0.036,0.003076543
31/10/2012,0.029,0.032,0.029,0.028,0.035,0.028,0.004,0.009,0.004,0.003076543
30/11/2012,-0.047,-0.050,-0.047,-0.040,-0.039,-0.040,-0.042,-0.044,-0.042,0.003076543
31/12/2012,-0.002,0.007,-0.002,0.009,0.009,0.009,0.017,0.014,0.017,0.003076543
31/1/2013,-0.038,-0.039,-0.038,-0.025,-0.020,-0.025,-0.039,-0.032,-0.039,0.003076543
28/2/2013,0.010,0.009,0.010,0.009,0.008,0.009,0.017,0.014,0.017,0.003076543
31/3/2013,0.039,0.028,0.039,0.039,0.032,0.039,0.048,0.046,0.048,0.003076543
30/4/2013,0.021,0.017,0.021,0.024,0.023,0.024,0.031,0.025,0.031,0.003076543
31/5/2013,0.205,0.202,0.205,0.177,0.169,0.177,0.208,0.215,0.208,0.003076543
30/6/2013,-0.023,-0.023,-0.023,-0.019,-0.017,-0.019,-0.034,-0.042,-0.034,0.003076543
31/7/2013,0.033,0.034,0.033,0.029,0.032,0.029,0.038,0.040,0.038,0.003076543
31/8/2013,-0.025,-0.026,-0.025,-0.035,-0.034,-0.035,-0.037,-0.038,-0.037,0.003076543
30/9/2013,0.087,0.084,0.087,0.094,0.092,0.094,0.074,0.073,0.074,0.003076543
31/10/2013,0.054,0.066,0.054,0.071,0.071,0.071,0.060,0.054,0.060,0.003076543
30/11/2013,-0.001,0.000,-0.001,0.003,-0.007,0.003,-0.005,-0.016,-0.005,0.003076543
31/12/2013,0.022,0.019,0.022,0.008,0.008,0.008,0.023,0.024,0.023,0.003076543
31/1/2014,-0.001,0.002,-0.001,-0.001,-0.001,-0.001,-0.008,-0.009,-0.008,0.003076543
28/2/2014,0.046,0.041,0.046,0.061,0.047,0.061,0.055,0.046,0.055,0.003076543
31/3/2014,0.023,0.023,0.023,0.044,0.043,0.044,0.050,0.044,0.050,0.003076543
30/4/2014,0.030,0.028,0.030,0.035,0.040,0.035,0.054,0.062,0.054,0.003076543
31/5/2014,0.007,0.008,0.007,0.017,0.019,0.017,0.015,0.013,0.015,0.003076543
30/6/2014,0.046,0.045,0.046,0.053,0.058,0.053,0.035,0.033,0.035,0.003076543
31/7/2014,0.023,0.016,0.023,0.049,0.057,0.049,0.064,0.065,0.064,0.003076543
31/8/2014,-0.019,-0.018,-0.019,-0.026,-0.026,-0.026,-0.011,-0.004,-0.011,0.003076543
30/9/2014,0.015,0.013,0.015,0.014,0.012,0.014,0.023,0.024,0.023,0.003076543
31/10/2014,-0.041,-0.045,-0.041,-0.052,-0.054,-0.052,-0.054,-0.058,-0.054,0.003076543
30/11/2014,-0.052,-0.051,-0.052,-0.049,-0.048,-0.049,-0.066,-0.063,-0.066,0.003076543
31/12/2014,-0.067,-0.070,-0.067,-0.088,-0.086,-0.088,-0.067,-0.058,-0.067,0.003076543
31/1/2015,0.063,0.057,0.063,0.068,0.057,0.068,0.083,0.082,0.083,0.003076543
28/2/2015,0.029,0.029,0.029,0.024,0.028,0.024,0.047,0.052,0.047,0.003076543
31/3/2015,0.009,0.012,0.009,0.032,0.033,0.032,0.027,0.028,0.027,0.003076543
30/4/2015,0.018,0.015,0.018,0.009,0.011,0.009,-0.019,-0.022,-0.019,0.003076543
31/5/2015,-0.004,-0.008,-0.004,-0.016,-0.016,-0.016,-0.016,-0.019,-0.016,0.003076543
30/6/2015,-0.013,-0.013,-0.013,-0.013,-0.015,-0.013,0.004,-0.001,0.004,0.003076543
31/7/2015,0.051,0.051,0.051,0.056,0.058,0.056,0.052,0.049,0.052,0.003076543
31/8/2015,-0.137,-0.133,-0.137,-0.144,-0.138,-0.144,-0.150,-0.147,-0.150,0.003076543
30/9/2015,0.094,0.092,0.094,0.073,0.076,0.073,0.098,0.092,0.098,0.003076543
31/10/2015,0.043,0.042,0.043,0.058,0.055,0.058,0.060,0.069,0.060,0.003076543
30/11/2015,-0.002,-0.010,-0.002,0.024,0.024,0.024,0.025,0.026,0.025,0.003076543
31/12/2015,0.044,0.037,0.044,0.060,0.060,0.060,0.039,0.039,0.039,0.003076543
31/1/2016,-0.048,-0.042,-0.048,-0.054,-0.050,-0.054,-0.052,-0.049,-0.052,0.003076543
29/2/2016,-0.015,-0.013,-0.015,-0.011,-0.006,-0.011,-0.009,-0.009,-0.009,0.003076543
31/3/2016,0.018,0.022,0.018,0.002,0.004,0.002,-0.010,-0.012,-0.010,0.003076543
30/4/2016,0.004,0.003,0.004,-0.010,-0.015,-0.010,-0.004,-0.004,-0.004,0.003076543
31/5/2016,-0.027,-0.019,-0.027,-0.008,-0.005,-0.008,-0.007,-0.006,-0.007,0.003076543
30/6/2016,0.001,-0.002,-0.002,0.000,-0.001,-0.001,0.013,0.014,0.014,0.003076543
31/7/2016,0.025,0.027,0.027,0.037,0.032,0.032,0.019,0.017,0.017,0.003076543
31/8/2016,-0.002,0.003,-0.002,-0.006,-0.007,-0.006,-0.013,-0.009,-0.013,0.003076543
30/9/2016,0.004,0.001,0.004,0.023,0.028,0.023,0.012,0.017,0.012,0.003076543
31/10/2016,0.014,0.018,0.014,0.007,0.007,0.007,0.003,0.003,0.003,0.003076543
30/11/2016,-0.061,-0.052,-0.061,-0.055,-0.051,-0.055,-0.043,-0.044,-0.043,0.003076543
31/12/2016,0.019,0.011,0.019,0.024,0.019,0.024,0.020,0.021,0.020,0.003076543
31/1/2017,0.050,0.046,0.050,0.050,0.050,0.050,0.043,0.038,0.043,0.003076543
28/2/2017,0.033,0.035,0.033,0.026,0.027,0.026,0.036,0.038,0.036,0.003076543
31/3/2017,0.139,0.127,0.139,0.108,0.090,0.108,0.086,0.083,0.086,0.003076543
30/4/2017,0.070,0.066,0.070,0.068,0.069,0.068,0.072,0.070,0.072,0.003076543
31/5/2017,-0.034,-0.026,-0.034,-0.032,-0.028,-0.032,-0.004,0.001,-0.004,0.003076543
30/6/2017,0.030,0.026,0.030,0.042,0.041,0.042,0.042,0.043,0.042,0.003076543
31/7/2017,0.004,0.003,0.004,0.005,0.003,0.005,-0.003,-0.006,-0.003,0.003076543
